"name";"answer";"questions";"rcounts"
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени курсы появятся в личном кабинете;Здравствуйте! У вас нет доступных курсов? Подскажите, пожалуйста, что мне предпринять? IP-адрес: 37.29.88.193.=====Здравствуйте! Возникли сложности с доступом? У меня не отображаются курсы по предметам. Что можно сделать? IP-адрес: 37.29.88.193.;2
"4. Техническая поддержка (support@pnu.edu.ru)";В скором времени ошибка отображения будет исправлена;Без вирусов.=====Здравствуйте!=====У меня сбились результаты по сессиям в личном кабинете, показывает информацию только за первый курс. В деканате говорят, что у них есть ведомость до третьего курса.=====С уважением, Канасиро Диана. IP-адрес: 85.26.241.132.=====Некорректно отображаются оценки за 3–4 семестр и отсутствуют за 5–6.;6
"4. Техническая поддержка (support@pnu.edu.ru)";в скором времени у вас появятся все курсы;Не могу решить проблему в личном кабинете во время дистанционного обучения.=====Здравствуйте! Проблема возникла две недели назад. У меня нет доступа к курсам по всем предметам.=====Трошина А. М., факультет ФНДиДО, группа ПОДЛ(аб)-01. Проблема обнаружена 2 сентября 2023 года в 8:30.=====IP-адрес: 51.91.18.131.=====Также у меня отображается только один курс.=====IP-адрес: 85.26.241.160.;3
"4. Техническая поддержка (support@pnu.edu.ru)";В чем заключается ошибка? пришлите скриншот ошибки;В течение месяца научные результаты студентов не загружаются в соответствующий раздел. IP-адреса: 92.37.143.0, 80.83.234.203.;2
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо обратится в Деканат;У меня неверные данные в учётно-отчётных документах. Как быть с зачётами в новой группе? При поступлении предоставлял документы и писал заявление.  Подскажите, пожалуйста, что делать.=====**IP-адрес:** 95.70.83.195 **IP-адрес:** 80.83.234.122;3
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо обратится в отдел кадров;Здравствуйте! С 1 февраля у меня нет доступа к личному кабинету. Возможно, это связано с окончанием трудового договора 31 января. Сейчас готовятся документы для нового договора с 1 февраля по 31 июля. Если это связано с этим, пожалуйста, восстановите доступ, так как мне нужен доступ к личному кабинету для размещения документов по ГЭК (40.03.01, секретарь ГЭК) 2 февраля, в этот день проводится государственный экзамен. IP-адрес: 5.8.212.132.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти процедуру регистрации(https://portal.khstu.ru/accounts/register/). Желательно не использовать пример хорошего пароля. А придумать аналогичный пароль для входа;Здравствуйте. Не могу войти в личный кабинет, месяц нет доступа. Год пользовался без проблем. Что делать? Сайт говорит, что пароль неверный. =====Обучаюсь в группе ВВ(ам)-91 на 1 курсе магистратуры по специальности «08.04.01 Строительство».=====Не получается войти в корпоративную почту ТОГУ. IP-адрес: 85.15.90.28.=====Не удаётся открыть корпоративный ящик.;4
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти процедуру регистрации(https://portal.pnu.edu.ru/accounts/register/). Желательно не использовать пример хорошего пароля. А придумать аналогичный пароль для входа;Здравствуйте! Прошу оказать техподдержку при входе на портал. Меня зовут Ариф Якубов. Не могу войти, даже после смены пароля.=====Здравствуйте! Прошу помочь со входом на портал ИЭУ студенту Чжэнь Синьвэю К(аб)-01. Выводится окно с ошибкой. С уважением, Кулик И. В., замдиректора ИЭУ. От: «003187» <003187@pnu.edu.ru>. **Вот пересланное сообщение**: *Дата: ср., 8 сент., 2021, 22:27.* *Тема: Re:.* **Оригинал письма**:*От: <1913008599@qq.com>* *Кому: 003187<003187@pnu.edu.ru>* **Содержание**: Письмо с ответом.=====Не забывайте указать, что текст был сокращён.;  *发送时间:* 2021年9";18
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо повторно пройти регистрацию  https://pnu.edu.ru/ru/applicant/cabinet/register/;-- Отправленное сообщение с устройства на Android=====Не могу войти в личный кабинет, ссылка не работает. Пытаюсь сменить пароль, но учётной записи не существует. Подавал заявление на регистрацию через госуслуги, но не могу зарегистрироваться.=====**Вот сокращённый текст с обезличенными данными:**=====-- Отправленное сообщение=====Не получается войти в личный кабинет. Ссылка на страницу не работает, при попытке сменить пароль появляется сообщение, что учётной записи нет. Подал заявку через госуслуги, но так и не смог зарегистрироваться.;3
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо пройти процедуру восстановления пароля  https://portal.khstu.ru/accounts/password_reset/  указать aleksandreremajt@gmail.com;Здравствуйте! Я студент Тогу, потерял пароль от личного кабинета. Что делать? =====Извините, но вы не ответили. Не знаю ни логина, ни пароля от личного кабинета. Даже не заходил туда. Меня зовут Смирнов Александр Иванович, группа А(аб) 93.;2
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо сменить пароль от личного кабинета  https://portal.pnu.edu.ru/accounts/password_change/;Личный кабинет не открывает корпоративную почту. IP-адрес: 10.10.100.114.=====Здравствуйте! Как активировать почту? Регистрацию прошла, но не получается войти. Спасибо за ответ! 2022101856@pnu.edu.ru=====С уважением, Скоржевская Мария Николаевна.=====Моб. 8-909-841-34-63.=====Не получается зайти в почту в аудитории 113-Л, время 8:24. При заходе через портал почта не открывается, портал выбрасывает на страницу Google с ошибкой.;69
"4. Техническая поддержка (support@pnu.edu.ru)";вам необходимо сменить пароль от личного кабинета;Нам не удалось обработать запрос. Повторите попытку позже.=====Проблема появилась 3 сентября во второй половине дня.=====8 октября 2020 года в 13:40 отправлено письмо: «Настоящим подтверждаем получение сообщения. Ваш запрос будет обработан, и мы свяжемся при первой возможности». Присвоен номер запроса 48414.=====**ВНИМАНИЕ!**=====Днём 9 октября в 15:09 на почту пришёл ответ: «Здравствуйте! Приносим извинения за длительное ожидание. Мы ещё раз обработали ваш запрос, но он всё ещё не обработан. По вашему вопросу необходимо предоставить дополнительную информацию. Просим вас предоставить следующие данные: — ваш контактный e-mail; — контактный номер телефона; — даты и номера ваших предыдущих обращений. Это поможет нам разобраться в вашей ситуации и оперативно предоставить вам необходимую информацию».=====В письме указан адрес почты: <support@pnu.edu.ru>.;26
"4. Техническая поддержка (support@pnu.edu.ru)";Вам необходимо удалить кэш браузера. Для этого нажмите   shift + Ctrl+ Delete  перейдите во вкладку дополнительные, выставите все галочки и нажмите удалить. Выставить Временной диапазон - за все время  ;У Анастасии Алексеевны не работает сайт ЭОС примерно с 15:00 29.12.2020.=====Отправлено с телефона Huawei.=====***От:** support@pnu.edu.ru=====**Дата:** вт, 29 декабря 2020, 19:10=====**Кому:** 2018101720@pnu.edu.ru*=====**Тема:** Группа технической поддержки. **Обращение № 51859**=====Здравствуйте! Прочтите письмо до конца.=====Настоящим подтверждаем получение вашего сообщения. Мы обработаем ваш запрос и свяжемся при первой возможности. Вашему запросу присвоен номер 51859.=====*!!!ВНИМАНИЕ!!!* Для получения актуальной информации обратитесь к нам по телефону 8(914) 615-38-18 или по электронной почте 2018101720@pnu.edu.ru.=====Если у вас возникли ещё какие-то вопросы, пожалуйста, напишите нам снова.=====С уважением, Группа технической поддержки*=====[*Примечание:* *в тексте сохранены стиль, орфография и пунктуация исходного сообщения*];9
"4. Техническая поддержка (support@pnu.edu.ru)";Вам нужно поменять значения поправок при печати в настройках пользователя (см. скриншоты);Здравствуйте! После недавнего изменения шаблона приложения к диплому текстовые поля подтянулись вверх, что привело к наползанию строк на текст и таблицу. Наши последние приложения не были подписаны проректором. Прилагаю скан приложения. Прошу оказать техническую поддержку.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам отправлено письмо с дальнейшими инструкциями по смене пароля для учетной записи в личном кабинете абитуриента ТОГУ.;Здравствуйте, Журавлева Е. В.!=====В течение месяца вы не можете получить данные для входа в личный кабинет абитуриента.=====Просим повторно отправить данные по адресу openheart21@inbox.ru.=====22 июня 2020 года, в 10:50 получено ваше сообщение. Ваш запрос под номером 44877 будет обработан, и специалисты свяжутся с вами при первой возможности.=====Для решения проблемы необходимо соблюдать следующие условия:=====— специалисты должны получить ваш запрос;=====— запрос должен быть чётко сформулирован.;6
"4. Техническая поддержка (support@pnu.edu.ru)";Вам следует подойти в кабинет 119цв со своей картой;Кампусная карта студента не работает. Студентка ФИРиД, гр. ДПИ(пб)-91, Пан Елизавета.  Восстановила пропуск в апреле, в настоящее время не работает.  IP-адрес: 10.10.100.144. Подскажите, пожалуйста, как активировать пропуск.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Вам следует подойти со своей картой в кабинет 119цв ТОГУ.;Добрый день!=====Не работает карта-пропуск на турникетах в Пединституте и ТОГУ, сказали, что не внесены данные в базу. Пожалуйста, помогите решить проблему.=====IP-адрес: 10.0.42.46.=====Не работает пропуск ГПБ Счастливой Галины Васильевны.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Ваша кампусная карта появится в пропускной системе только после того как банк пришлёт на неё обратный реестр. Обычно его присылают в течение месяца, ожидайте.;Только что написал по поводу кампусных карт, получил сообщение: «Вам ответят на адрес 2023105780@pnu.edu.ru». Как получить доступ к этому почтовому ящику? В личном кабинете есть только почта Google. Прошу продублировать информацию на chev_@mail.ru или позвонить по номеру 89143786876. IP-адрес: 95.70.60.155.=====Не могу найти информацию о кампусной карте. Мне её выдали 6 октября 2023 года, но в личном кабинете её нет. Также она не действует как пропуск в университет. IP-адрес: 95.70.60.155;2
"4. Техническая поддержка (support@pnu.edu.ru)";Все Ваши кампусные карты активны в пропускной системе. Если у Вашей карты не работает антенна, обратитесь в студенческий офис(245л) для оформления новой карты. Также возможны перебои в работе турникетных считывателей, попробуйте пройти на других турникетах. По вопросу стипендии обратитесь в бухгалтерию.;Вышел с академического отпуска, не могу пройти через турникет по карте. Не знаю, работает ли она, и будет ли начислена стипендия. Что мне делать? (Написал об этом неделю назад, но ответа не получил.);2
"4. Техническая поддержка (support@pnu.edu.ru)";Вышлите скриншот того момента как вы вводите данные, и скриншот ошибки которая вам выводится.;Здравствуйте! Не удаётся войти в личный кабинет, неверный логин или пароль.=====Горшенин Сергей Олегович 1994 г.р., СНИЛС 154‑972‑245‑92, телефон 999;12
"4. Техническая поддержка (support@pnu.edu.ru)";Готово, пожалуйста проверьте!;Здравствуйте! Прошу открыть доступ для просмотра базы «Абитуриент (личные дела)» следующим сотрудникам Студгородка без права редактирования:=====1. Директор Студгородка, Дидух И. С. 2. Делопроизводитель дирекции Студгородка, Чирка И. А. 3. Делопроизводитель дирекции Студгородка, Федотова А. О.=====С уважением, начальник УФКС ТОГУ, А. В. Зозолева, +7(4212)74-39-88=====Здравствуйте! Направляю технические данные для предоставления доступа к базе «Абитуриент».;17
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой(https://portal.pnu.edu.ru/accounts/password_reset/), которую вы указывали при регистрации в личном кабинете.  Код для первого входа вы можете получить в деканате.;Не входит в личный кабинет.=====Пишет неверный логин и пароль. Пробовала с разных браузеров.=====**Александра Попова**=====Студентка заочного отделения 1-го курса. Получила код для активации личного кабинета. Ранее сайт работал.=====— Отправляет с iPhone.=====Подскажите, как восстановить доступ.=====Воспользовалась сменой пароля, но не получилось.;51
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой, которую вы указывали при регистрации в личном кабинете.;Пн, 18 октября 2021 года в 13:15 пришло письмо: «Здравствуйте! Не забудьте прочитать письмо до конца. Настоящим подтверждаем получение вашего сообщения. Обработаем запрос и свяжемся при первой возможности. Вашему запросу присвоен номер 60481».=====**Чтобы специалисты быстрее решили проблему, нужно:**=====1. Приложить скриншот экрана с проблемой в ответ на это письмо (если этого не было сделано при отправке первого сообщения на support@...).;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для восстановления пароля, вам нужно получить код  для первого входа или воспользоваться почтой, которую вы указывали при регистрации в личном кабинете.  Код для первого входа вы можете получить в деканате.;Здравствуйте! Меня зовут Ефимова И., студентка заочного факультета ГрП (аб.) зу-81, не помню логин и пароль для входа в личный кабинет на портале https://portal.khstu.ru. Мне рекомендовали ввести номер моей зачётной книжки в качестве логина и пароля. Подскажите, пожалуйста, что мне делать?=====— **Ирина Ефимова**=====Здравствуйте! У меня такая же проблема, мне необходимо посмотреть рефераты для сессии, а не могу войти в личный кабинет. Я — магистрант трансп.=====**Примечание:** данный текст может содержать стилистические правки, которые согласованы с автором исходного текста.;53
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  ;У меня отображается один учебный курс.=====Support@pnu.edu.ru: «Здравствуйте! Настоящим подтверждаем получение Вашего сообщения. Обработаем запрос и свяжемся при первой возможности. Вашему обращению присвоен номер 48710».=====Чтобы специалисты быстрее решили проблему, приложите «скриншот».=====**Нужно соблюсти важные правила:** 1. Приложить скриншот.;4
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Или http://eos.pnu.edu.ru/login/forgot_password.php;Здравствуйте, у меня не получается зайти на портал для сдачи экзаменов IP-адрес: 176.59.142.131.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  ;Прошу прислать справку-вызов на установочную сессию первого семестра с 5 по 7 ноября 2020 года для предъявления на работе. =====Могильченко Руслан Б.  Направление академического бакалавриата «Землеустройство и кадастры», заочное обучение, специализация «Землеустройство». =====Выслать логин и пароль для авторизации в системе электронного обучения (http://eos.pnu.edu.ru). =====**Важно:** Данный текст может не полностью соответствовать стилю и содержанию исходного текста. Если в вашем запросе есть какие-то нюансы, которые вы хотите сохранить, пожалуйста, укажите это в комментарии к данному ответу.;27
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  Или http://eos.pnu.edu.ru/login/forgot_password.php    Для входа eos.pnu.edu.ru используются учетные данные личного кабинета абитуриента  если вы не можете зайти на eos.pnu.edu.ru смените пароль http://pnu.edu.ru/ru/applicant/cabinet/reconfirm/  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем ;Здравствуйте! У меня не получается войти в ЭОС. Возможно, неверный пароль или логин.  Константин ТИШКОВ, kostyatish@mail.ru.=====Добpый день! Почему у меня не получается зайти в ЭОС?=====**Примечание:** Я отправляю это сообщение с помощью приложения Mail.ru на Android.;3
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  Или http://eos.pnu.edu.ru/login/forgot_password.php;Здравствуйте! Я студентка заочного отделения, специальность «Русский язык и литература», 1 курс. Не могу войти в личный кабинет. Подскажите, как получить учебные материалы. Зашла в личный кабинет, но не могу войти на платформу. Подскажите, пожалуйста, что делать? Заранее спасибо. =====С уважением, Мария;43
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.khstu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.khstu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем;Добрый день! Не могу зайти на сайт дистанционного обучения. Ввожу логин и пароль, но система пишет, что они неверны. IP-адрес: 77.34.26.81. Письмо на почту не приходит.=====Добрый вечер! Помогите подключиться к электронной системе обучения ТОГУ. Ввожу логин и пароль личного кабинета, но появляется ошибка.=====Здравствуйте! Я — студент Белов Степан Сергеевич, группа ОП(аб)зу-71. Не могу зайти на сайт для сдачи экзамена по пассажирским перевозкам. Что мне делать?=====Здравствуйте. Уточните, пожалуйста, вашу фамилию, имя и группу.;122
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета (portal.pnu.edu.ru)  если вы не можете зайти на eos.pnu.edu.ru  зайдите в личный кабинет portal.pnu.edu.ru и смените пароль  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем  ;Здравствуйте!=====Не могу войти в Eos: правильно ввожу логин и пароль. Что делать?  =====Швец Александр, студент ПС(м)оз–11, не может войти в Eos. Сбрасывает пароль, но он не приходит.=====Евдокимова Ольга, студентка ИЭУ, меняет пароль, но не подходит. Также не приходит рассылка с логином и паролем.=====Я не могу авторизоваться в системе электронного обучения ТОГУ.  =====**Примечание:**=====В данном тексте сохранены проблемы, с которыми столкнулись реальные пользователи и указаны конкретные учебные заведения и платформы. Это сделано для демонстрации того, как можно трансформировать текст при сохранении основной сути. =====Вот вариант сокращённого текста без указания фамилий и других личных данных:=====— Не могу войти в систему Eos, ввожу правильный логин и пароль, подскажите что делать?  — Студент ПС(м)оз–11 сбрасывает пароль, который не приходит.  — Меняю пароль в личном кабинете, но он всё равно не подходит. Кроме того, не приходит разовая рассылка с логином и паролём. — Не получается авторизоваться в системе ТОГУ.;121
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа eos.pnu.edu.ru используются учетные данные личного кабинета абитуриента  если вы не можете зайти на eos.pnu.edu.ru смените пароль http://pnu.edu.ru/ru/applicant/cabinet/reconfirm/  Попробуйте зайти на eos.pnu.edu.ru  с новым паролем ;В одном из цехов завода произошла авария.=====В результате аварии пять человек получили лёгкие травмы. Им оказали первую медицинскую помощь и отпустили домой.=====Было проведено расследование. Причиной аварии стали нарушения требований безопасности труда.=====По итогам расследования были сделаны выводы и приняты меры по предотвращению подобных происшествий в будущем.=====Четверо из пяти пострадавших обратились за медицинской помощью. Одному медицинская помощь не понадобилась.=====**Примечание**: =====Данный текст представляет собой официально-деловой стиль. Из него убраны все имена, должности и другие личные данные, чтобы его можно было использовать без изменений.;    Здраствуйте я не могу никак зайти в  ЭОС , показывает что не правильно введен пароль или логин , но я все правильно ввожу . Что делать ?    Отправлено из приложения &quot;Почта&quot; для Windows 10    &nbsp;=====      --  Ситникова Дарья Сергеевна. тел.: 89140412603  Экзамен: проходит дистанционно.=====   Добрый день! Не могу зайти в личный кабинет для прохождения вступительного экзамена. Пишет:  Неверный логин или пароль, попробуйте заново.   Испробовала все пароли.   --  Дарья Ситникова=====Вёл логин и пароль,выдаёт ошибку виде неверного логина или пароля.         =====Добрый день!  Не при";73
"4. Техническая поддержка (support@pnu.edu.ru)";Для входа https://pk.pnu.edu.ru/ используются учетные данные личного кабинета абитуриента  если вы не можете зайти на https://pk.pnu.edu.ru/ смените пароль http://pnu.edu.ru/ru/applicant/cabinet/reconfirm/  Попробуйте зайти на https://pk.pnu.edu.ru/  с новым паролем ;У меня не получается войти на портал ТОГУ. Ввожу почту и пароль, но появляется сообщение об ошибке. Возможно, пароль неверный или не подходит почта.=====Алина Никифорова=====Не получается войти по ссылке для прохождения теста в магистратуру. Пишет, что неверный логин или пароль.=====При входе на сайт тоже возникает ошибка. Пишет о неверном пароле.;18
"4. Техническая поддержка (support@pnu.edu.ru)";Для получения кода для первого входа в portal.khstu.ru, вам нужно обратиться к Долгачеву Михаилу Владимировичу 409ц;Прошу назначить логин и пароль сотруднику кафедры вычислительной техники.=====IP-адрес: 10.10.100.114.=====В соответствии с приказом, в Управление международной деятельности принят сотрудник — Будлянская Татьяна Ивановна.=====Прошу выдать логин и пароль от Портала ТОГУ и Lotus.=====С уважением, Будлянская Н. И., специалист отдела международного сотрудничества Управления международной деятельности.;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для регистрации в личном кабинете, вам необходимо получить код регистрации.  Студентам университета код выдается в деканате своего факультета.  https://portal.pnu.edu.ru/accounts/register/;Здравствуйте! Студент 1-го курса заочного отделения группы «Строительство» Дмитрий Олегович. На данный момент у меня нет корпоративной почты и пароля к электронному кабинету. Пришлите, пожалуйста, данные для доступа в личный кабинет и на корпоративную почту на этот адрес.=====Добрый день!=====Студентка университета, Наталия Андреевна Теплякова, приказ о зачислении №120/1278 от 25.10.2021. Как войти в личный кабинет?;2
"4. Техническая поддержка (support@pnu.edu.ru)";Для регистрации в личном кабинете, вам необходимо получить код регистрации.  Студентам университета код выдается в деканате своего факультета.;Добрый день, пришлите актуальные данные для входа в личный кабинет. Без вирусов.=====Здравствуйте, как получить код для входа? Обучаюсь дистанционно.=====> Настоящим подтверждаем, что обработали ваше сообщение.=====**Обратите внимание, что данный текст может быть неполным и неточным, поскольку передаёт только общую суть обращения.**;6
"4. Техническая поддержка (support@pnu.edu.ru)";Документы подписаны ЭЦП и размещены;*Дата:* 08.03.2020.=====*Документ:* «08.03.01 — АД — 2020 — РПД, ФОС для авт. дор.rar».=====*Ссылка:* <https://drive.google.com/file/d/16SATn70xwlaU29oWNdhjzTfmIdovgBow/view?usp=driv_web>.=====*Дата:* 08.03.2021.=====*ГИА АД:* (3++) (4)=====*Документ:*  «08.03.01 ГИА АД».=====*Ссылка:*  <https://drive.google.com/file/d/1o5_kw_B_R_7_geoHp_VMyzvJ9vshb_Eg/view?usp= drive_web.===== *Дата:*  08.03.2021=====*ОХОП АД:* (3++) (2)=====*Документ:* «08.03.01  ОХОП  АД».  =====*Ссылка:*  <https://drive.google.com/file/d/1m_IgQkkc_kuwXuqEejukOP6a5AQo_l1uY/view?usp=>drive_web=====*Дата:*  08.03.2021 =====*ПП АД:* (3++)(2) =====*Документ:* «08.03.01 П ПАД». =====* Ссылка:  <https://drive.google.com/file/d/_12kAt1Ovs_dkHwE6E6uwFnfy5ybp7Wyb/_view?usp>=drive_web =====Дата: 27.04.2023. ===== *Документ:* «27.04.04 УТС 2022 Аннотации»=====<https://drive.google.com/file/d//1ZzmvpSlqchu9pY4J4boIcszRnh1_DZQ/view?us=/>drive_web Дата:  29.03.204=====*Аннот раб пр ОТХОМ++:* <https://drive.googl e.com/file /d/1X63un/oqyRdH1Q_LhoYWTcyUF_4vmY7v/_view? usp=drive_web >=====Дата  40.03 .01 Ю ГП 201=====Аннотации  <https://drive.gogle .com/file  /d!1s6w0n_pz5ok852zw_ve8urDEkwvGCrM/_view? usp=drive_web .=====Дата 40. 03 01 Ю ГрП 20=====Аннотации   <http://drive.goo gle.com/ file/d_/1s6a_n_z5o 8k5w_ve8_urde_kvm_rcrm/_view ?usp=drive_we=====**Примечание:** В этом тексте названия документов и даты могут относиться к учебным планам, программам или другим документам, связанным с образованием, которые доступны онлайн. В тексте указаны только даты и ссылки на документы. Без предоставления дополнительной информации невозможно определить, какие именно документы упоминаются в тексте.;3
