"name";"answer";"questions";"rcounts"
Архив;Добрый день! Вам необходимо написать заявление на имя ректора ТОГУ Иванченко Сергея Николаевича с просьбой выдать вам аттестат. В заявлении необходимо указать почтовый адрес, на который вам будет выслан аттестат. Заявление можно отправить по электронной почте на адрес: mail@pnu.edu.ru. ;Здравствуйте. Как забрать аттестат об окончании средней школы, если более 4 лет назад было прервано обучение и я нахожусь в другом городе? =====Здравствуйте. Как вернуть аттестат о среднем образовании, если отчислился и проживаю в Амурской области, а приехать нет возможности?;2
Архив;Добрый день! Вам необходимо написать и зарегистрировать заявление на сайте https://portal.pnu.edu.ru/feedback/feedback/fad/58/ ФГБОУ ВО «Тихоокеанский государственный университет». Заранее благодарим! ;Здравствуйте.=====Учусь в пединстиуте/университете на филологическом факультете. Прошу вас отправить на kostya.artemov.92.92@mail.ru диплом среднего профессионального образования.=====Диплом у меня есть. Мне нужна справка о том, что я изучала физкультуру и сколько на неё потратила часов. Эти данные нужны для другого учебного заведения.=====Обучался в вашем заведении дистанционно в 2010–2012 годах. Хотел бы получить свой диплом о среднем специальном образовании. Проживаю в Якутии. Не смог получить ответ на своё письмо.=====Как можно урегулировать этот вопрос?;4
Архив;Добрый день, Вам необходимо  разборчиво заполнить заявление (с приложением копии диплома), которое вы найдете на сайте нашего университета, пройдя по ссылке - https://portal.pnu.edu.ru/feedback/feedback/fad/58/, заявление необходимо направить на почту ректора - mail@pnu.edu.ru. Благодарим за обращение,  Архив ТОГУ. ;Здравствуйте!=====Прошу выслать справку о подтверждении диплома **«Теплогазоснабжение и вентиляция»**, который я получил в ТОГУ в 2006–2013 годах.=====Мне также нужна справка об учёбе в университете для получения льготной путёвки в «Красную поляну», её нужно отправить на мою электронную почту.=====Также прошу выслать аттестат и сертификат ЕГЭ на имя Любови Сергеевны Сёминой, которые хранятся в архиве.=====Я училась в Хабаровском государственном педагогическом университете в 1994–1999;4
Архив;Добрый день! Ваше обращение взято в работу;Здравствуйте!=====1. Мне нужна справка о подтверждении диплома: обучался с 2012 по 2017, специальность «Правовое обеспечение национальной безопасности», ЮФ. Прошу выслать в электронном виде и по почте: индекс 692233.2. Нужна справка о подтверждении диплома с:  — указанием полного имени,  — сроками обучения,   — нумерацией диплома.  Период обучения: 2010–2015 гг.Специальность: Дизайн архитектурной среды.Прошу отправить справку на электронную почту SaifulinaGaliya@gmail.com.3. Мне нужна справка об обучении с 01.08.2020 г. по 31.07.2021 г. в Институте экономики и управления. Прошу отправить срочным заказным письмом в кратчайшие сроки с уведомлением: — адрес: Сахалинская область, г. Южно-Сахалинск, проспект Мира, 247А, квартира 118;— индекс: 693013.4. Отправьте аттестат о среднем образовании по адресу 682350, Хабаровский край, Нанайский р-н, с. Маяк, Октябрьская, 11/1, Рыжаковой Ирине Анатольевне, 03.11.1995 г.р., который сдавался при поступлении в 2013 г. на заочное отделение «Финансы и кредиты».5. Здравствуйте! Мне нужна архивная справка об обучении:  - в Хабаровском Политехническом институте с 1986 по 1988 гг.,  - после восстановления с 1989 по 1990 гг., на Дорожном факультете, по специальности «Автомобильные дороги».  Справка нужна для предъявления в Пенсионный фонд России.С уважением, Сопина, 25.04.2022 г.;5
Архив;Добрый день! Обращения подобного рода следует направлять в Росархив или Консульский департамент МИД;Для оценки диплома в канадский ВУЗ и для получения рабочей визы требуется предоставить Academic Transcript — официальный документ с перечнем пройденных предметов и оценками. Желательно на английском или с переводом, заверенным у нотариуса. Документ должен быть в запечатанном конверте, подписанном и с печатью вуза. =====Подскажите, как и где можно получить этот документ?;2
Архив;Добрый день! Форма заявления отправлена на вашу почту;В первом сообщении запрашивают справку о прохождении обучения.=====Во втором сообщении сообщают об обучении на очной и заочной форме в период с 2003 по 2007 год по специальности «Социальный работник», обучение не закончено. Спрашивают о возможности забрать документы.=====В третьем сообщении сообщают о необходимости получить оригинал аттестата за 11 классов из ДВГГУ, который был предоставлен при поступлении. Интересуются порядком действий и учреждением, куда нужно обратиться.;3
Архив;Добрый день! Форма заявления отправлена на указанную почту;Прошу выслать справку об обучении на дневном подготовительном отделении Хабаровского политехнического института с 01.12.1984 по 27.06.1985 (Приказ 045/347 от 27.06.1985) для управления социальной защиты и труда (прилагаю копию трудовой книжки).Подскажите, как получить справку о выдаче диплома, если университет переименован.Как получить справку, подтверждающую выданный диплом, если обучение проходило в 2010–2011 на заочной форме Кафедры «Социальная работа и психология»?Как подтвердить диплом 2007 года об окончании Дальневосточного государственного гуманитарного университета?Как подтвердить обучение с 1997 по 2002 год на заочном отделении Факультета «Финансы и кредит» без диплома?Прошла обучение в институте с 1997–2002 на заочном факультете «Технология машиностроение», не закончила, осталась со школьным аттестатом. Прошу выдать мне академическую справку за время обучения с 1997-2005.;6
Архив;Здравствуйте, Андрей Сергеевич, Ваш запрос взят в работу.;Здравствуйте! Прошу вас предоставить информацию о моём обучении заочно (до 2012 г.), на факультете юриспруденции.=====Направляю вам запрос на электронную почту: [email protected] и прошу направить аналогичное письмо на бумажном носителе по адресу: Амурская область, Благовещенский район, с. Устьев-Ивановка, ул. Лесная, 24, квартира 2.;2
Архив;Здравствуйте! Ваше обращение принято.;Здравствуйте! Мне необходимо получить документы об образовании, находящиеся в вашем архиве. Письмо с заявлением я отправила месяц назад по указанной почте. Как ещё можно с вами связаться?=====Обучалась в Педагогическом Университете с 1.09.11 г. по 10.01.13 г., факультет специальной психологии и педагогики, логопед.=====Мне нужен диплом об окончании Хабаровского педагогического колледжа от 18.02.2011 г., регистрационный номер 3527.=====Также прошу выдать аттестат об окончании школы и другие оригиналы документов, предоставленные при поступлении в Хабаровский государственный педагогический университет:=====- студенческий билет №105, выдан 06.10.2000;3
Архив;Здравствуйте, ваш запрос принят, ожидайте.;Прошу предоставить академическую справку и подтверждение диплома. Обучался в ТОГУ, направление «Технология транспортных процессов», дата выдачи диплома — 04.07.2018. Вышлите, пожалуйста, документы по электронной почте или по адресу: г. Хабаровск, пер. Трубный, д. 10, кв. 159, индекс 68000;2
Архив;Здравствуйте, ваш запрос принят, ожидайте. Благодарим за обращение, Архив ТОГУ.;Студент Михаил Владиславович Казарин, проживающий по адресу: 141307, Московская область, г. Сергиев Посад, ул. Юности, д. 3, кв. 9, просит выдать справку об обучении с указанием даты зачисления для учёта страхового (трудового) стажа за период обучения 2000; факультет, специальность, структурное подразделение (для уволенных работников): Факультет математического моделирования и процессов управления, «Прикладная математика»; форма обучения на момент окончания университета: очная; регистрационный номер диплома: ВСВ 1649471  дата выдачи диплома: 01 декабря 2005 г. документ прошу направить по адресу: 141307, Московская обл, г Сергиев Посад, ул Юности, д 3, кв 9 В соответствии с Федеральным законом от 27.07.2006 № 152-ФЗ «О персональных данных», даю согласие ФГБОУ ВО «ТОГУ» на обработку моих персональных данных. Паспортные данные: серия 0803 номер 971270    дата выдачи 12.03.2003 г. С уважением, Казарин М.В.=====Здравствуйте!, Мне нужна справка о подтверждении диплома, 08.03.01, Строительство, дата выдачи диплома 25.02.2022=====Здравствуйте, мне нужна архивная справка о подтверждении диплома. Обучалась с 2017 по 2021 год в Тихоокеанском государственном университете, специальность 44.03.02 ""Психолого-педагогическое образование"". Прошу выслать в электронном виде и почтой по адресу: 680000, г. Хабаровск, ул. Ким-Ю-Чена, д. 45А";3
Архив;Здравствуйте, ответила на электронную почту ;Здравствуйте!=====В 2012 году начал учиться в ТОГУ заочно по направлению «Юриспруденция». В 2019 году меня отчислили. После этого не забирал диплом о среднем образовании. Подскажите, пожалуйста, как и где его можно забрать? Есть ли возможность восстановиться?=====Здравствуйте! В текущем году получила высшее образование по педагогическому направлению (английский и китайский языки). Не могу забрать документы, как можно отправить их почтой и получить диплом о высшем образовании и школьный аттестат?;2
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк заявления, на почту ректора - mail@pnu.edu.ru.  В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ.;Сокращённый текст запроса на справку и дубликат диплома:=====Обучался с 2017 по 2021 год в ТОГУ, специальность «Лесное дело». Прошу выслать справку в электронном виде по адресу: Хабаровск, ул. Автобусная, 2, кв. 26.===== Сокращённый текст запросов на получение дубликата диплома и справки об обучении:=====1. Требуется получить исправленный дубликат диплома ВСВ 0841211 (дата выдачи 17 апреля 2004 года).2. Могу ли я получить дубликат диплома ABC 0110642, выданного 23 июня 1997 года? Что требуется от заявителя?3. Могу ли получить справку об учёбе? Обучался заочно, был отчислен.4. Обучался в институте с 2007 по 2010 годы. Как получить справку?=====**Сокращённый текст остальных запросов:**=====1. Обучался на заочном факультете юриспруденции с 2006 по 2009 годы. Получил диплом ВСГ3073540. В настоящее время необходима справка с указанием периодов и формы обучения.2. Мне нужна архивная справка о факте обучения с 09.2017 до 02.2020 года, по направлению подготовки «Психология», диплом №1027244706845.3. Прошу выдать характеристику. Обучался с 09.2017 г. по 02. 2020 г. Направление — психология. Диплом ВСГ4706845 (выдан 07 февраля 2020).4. Где приобрести нагрудный значок выпускника ВУЗа?5. Меня зовут ВайДи, училась в ВУЗЕ с 2013 по 2014 годы в Северо-Восточном сельскохозяйственном университете (Китай). Помню, что училась на факультете русского языка, преподаватель — ПаскевичЗаряна. Прошу предоставить академическую справку.6. Можно получить выписку о моих поступлениях стипендии за 2022 год?7. Поступила в 2019 г. на заочное обучение факультета юриспруденции, но не смогла приступить по семейным причинам. Прошу вернуть мой диплом о высшем образовании.8. Можно получить информацию о зачислении стипендии на мой счёт?9. Обучалась в институте Психологии и управления с 2001 по 2004 годы, специальность — психология. Не закончила обучение, хочу забрать документы.;15
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк заявления, на почту ректора - mail@pnu.edu.ru.  В заявлении просим указать всю подробную информацию и указать необходимы ли  вам периоды обучения, или вам необходимо подтвердить подлинность диплома. Благодарим за обращение, архив ТОГУ.;Здравствуйте!=====Прошу выслать справку о подтверждении диплома, заочного обучения в период с 2011–2016 гг. по специальности «Педагогика и методика дошкольного образования».=====Обучалась в Тихоокеанском государственном университете (г. Хабаровск), индекс 680035, ул. Бондарева, д. 9, кв. 5.=====Индекс 680013, г. Хабаровск, пер. Засыпной, д. 8а, кв. 45;2
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк заявления, на почту ректора - mail@pnu.edu.ru.  В заявлении просим указать всю подробную информацию.  К заявлению необходимо приложить копию смены ФИО. Благодарим за обращение, архив ТОГУ.;Здравствуйте.Подтверждаю диплом, полученный по специальности «Экономика», направление «Финансы и кредит» с 2016 г. по 2020 г., форма обучения — заочная.Прошу прислать подтверждение в электронном виде.=====Здравствуйте.Укажите даты поступления (месяц, число, год) и отчисления (месяц, число, год). Указываю фамилию до бракосочетания.;2
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк, на почту ректора - mail@pnu.edu.ru В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ.;Вот сокращённый текст с обезличенными данными:=====**Добрый день!**=====Подскажите, пожалуйста, как можно восстановить утерянный диплом?=====Необходимо получить справку, подтверждающую моё обучение в Хабаровском педагогическом университете. Обучалась на заочной форме в Институте психологии и управления, приказ  742 от 20 августа 2004 г., отчислена 29 мая 2009 г., приказ 502. Справку требуют для расчёта пенсии. Отдел кадров требует указать в справке начало учебного года — 01 сентября 2004, а не только официальную дату зачисления — 20 августа 04.**Здравствуйте!**=====Ранее окончил ТОГУ по специальности «Юриспруденция» и получил дипломы бакалавра и магистра, сейчас необходимо представить справку из ТОГУ о том, что прошёл обучение и получил высшее образование. Можете ли Вы оформить такую справку?**Добрый день.**=====Хочу забрать аттестат, выданный при поступлении на факультет ГД в 2013 г. 5 мая буду в Хабаровске, смогу его забрать. Если к этой дате аттестат не найдётся, нужно отправить его по почте по адресу Республика Саха, Якутия, пос. Нижний Куранах, ул. Федоренко, д. 95, кв. 36.**В 2020 г. окончил Юрфак.**=====Так как была пандемия — дипломы об окончании направили почтой по месту проживания. Аттестат о среднем образовании — нет. Прошу поднять в архиве и отправить аттестат по адресу: г. Владивосток, Калинина, 11А, кв.75.**Прошу выдать диплом о среднем профессиональном образовании с приложением.**=====Подавал документы на заочное отделение Нефтегазового дела в 2021 г., зачислен не был, диплом прошу выслать по адресу Хабаровск, ул. Тихоокеанская, д.220, кВ.923.**Проживаю по адресу:** Приморский край, г.Владивосток, 690077, ул. Калинина, 11а/2, кв.74. Прошу направить мне аттестат о полном среднем образовании по этому адресу.* **Прошу выдать архивную справку** об обучении. Основание — отчисление «по иным основаниям». Период обучения: с 01. 09. 1983 г. по 04. 1986 г., факультет: автомобильный, специальность: автомобили и автомобильное хозяйство, форма обучения: очная. Отчисление по иным основаниям: Удалов. Документ прошу направить (удалов б. п.) по адресу: Сахалинская обл., Тымовский район, ул. Октябрьская, 83, кв.35.* В соответствии с ФЗ от 27 июля 2006 г. № 152 «О персональных данных», даю согласие на обработку персональных данных. Паспортные данные: серия 6410 №757 038, дата выдачи: 25 мая 2011 г.*===== **Добрый день! Мне, Евгению Жарнакову (окончившему ТОГУ в 2013), для предоставления в другое образовательное учреждение необходим перечень дисциплин, изученных мной на 4-5 курсах.** Детальная информация: Жарнаков Е. А., 1991 года рождения.; Специальность - Программное обеспечение вычислительной техники и автоматизированных систем; Диплом № КЗ 08561. Буду очень благодарен за скорый ответ в любой форме. Простого перечня дисциплин будет достаточно. Спасибо. С уважением, Евгений Жарнаков =====Подскажите, пожалуйста, возможно ли получить справку о том какие у меня были предметы последние два года обучения? Если возможно, сможете отправить скан в ответ (e-mail) и письмом на адрес (Москва Скаковая аллея 9 кв 22 индекс 125284)   Мои детали Жарнаков Евгений Анатольевич,ПО-82, старт обучения 2008 конец обучения 2013 Диплом КЗ 08561. (запросил иностранный университет при поступлении на Мастерскую программу, я пытался выкрутиться не получается, требуют справку) Заранее большое спасибо.   С уважением, Жарнаков Евгений=====Здравствуйте,хотелось забрать документы=====Добрый день. Я закончила обучение на направлении ""психология"" прошу предоставить справку  Магистр 37.04.01 Психология  Диплом 102724 0334862 Регистрационный номер 4571  Дата выдачи 13.02.2023";13
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк, на почту ректора - mail@pnu.edu.ru В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ.;Добрый день!=====Подтвердите подлинность диплома о среднем специальном образовании номер 112347, выданного Зоц Оксане Павловны.=====Диплом выдан 24.01.2004, регистрационная серия 1610.=====Зоц О. П. — это я.=====Документ нужен в ближайшее время.=====Подскажите, пожалуйста, как получить этот диплом?;2
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить, заполненный бланк, на почту ректора - mail@pnu.edu.ru.  В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ.;**Вот сокращённый текст, в котором удалены фамилии и данные обезличены:**=====**1.**=====«Здравствуйте! Необходимо предоставить архивную справку о подлинности диплома. Окончание ДГГУ по специальности педагог и психология в 2008 г., квалификация — практический психолог. Диплом утерян при переезде, проживаю на Камчатке, возможности лично обратиться нет. Как получить дубликат?»===== **2.**=====«Как можно получить аттестат за период обучения 1996–1998 гг.?»=====**3.**=====«Проживаю в другом регионе. Как забрать документы, сданные при поступлении при переводе в ТГУ в 2010 г.?=====**4.**=====Отучилась в ДВГГУ в 2012 г., документы не забрала. Возможно ли забрать аттестат?»=====**5.**=====Обучалась на ИПУ в ДВГГГУ по специальности социальный педагог, была отчислена в 2012 г.=====Проживаю по адресу Хабаровский край, район имени Лазо, п. Обор, ул. Комсомольская, д.8, кв. 1.=====Могу ли я получить свой аттестат почтой?=====**6.**=====Как получить характеристику, если училась заочно с 2007–2011 г. по специальности «Экономика и управление предприятием (в строительстве)?=====Диплом ВСГ 545 03 46, квалификация — экономист-менеджер.=====Необходима характеристика для предоставления воинской части.=====**7.**=====Не забрала аттестат после окончания ВУЗа в 2002 г. Школой окончена в 2002 года. Заочное образование, факультет «Экономика и управления на предприятии лесной комплекс» с 2002–2007 г. Номер диплома — 26 37, диплом выдан 20.06. 2007 года. Получаю лично. Заявление направлено почтой.=====**8.**=====Нужна справка о подтверждении диплома по программе бакалавриата по направлению «08.03.01 строительство», профиль образовательной программы «Автомобильные дороги».=====Отчислялась после 1 г., восстановилась в 2013 г., заочная форма с 2013–2016 гг.=====Прошу прислать справку о подтверждении дистанционно.=====Место учёбы — Тихоокеанский государственный университет.=====Дата обучения с 2011–2016 г.г.=====Аттестат: серия ИВ№ 39 32 43.=====Регистрационный номер 27 444;20
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить на почту ректора - mail@pnu.edu.ru В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ.;Вот сокращённый текст данных запросов:=====**1.** Здравствуйте. Обучался в Хабаровском ГТУ с 1995 по 2000;20
Архив;Здравствуйте, просим заполнить бланк заявления (скачать бланк вы можете на сайте - https://pnu.edu.ru/feedback/faq/58/) и направить на почту ректора - mail@pnu.edu.ru В заявлении просим указать всю подробную информацию. Благодарим за обращение, архив ТОГУ. ;Один из этих текстов может быть сокращён так:=====«**Диплом утрачен.**  Я закончила Хабаровский университет в 2001 году. Срочно нужна копия диплома. Диплом был утерян при переезде. Куда направить заявление, чтобы получить дубликат? =====**Необходима архивная справка.**  Также нужна архивная справка о факте обучения. Куда обратиться?»=====Обратите внимание, что формулировки в этих текстах не идентичны. Второй текст более информативен, поэтому при необходимости можно оставить его в исходном виде.;3
